№,Секунда,Микросекунда
1,48,243234
2,48,254086
3,48,264394
4,48,274516
5,48,285010
6,48,295864
7,48,306328
8,48,316377
9,48,326701
10,48,337660
11,48,348579
12,48,358798
13,48,369180
14,48,380169
15,48,390525
16,48,401363
17,48,411414
18,48,421825
19,48,432034
20,48,443225
21,48,453879
22,48,464219
23,48,474280
24,48,485102
25,48,496308
26,48,507594
27,48,518326
28,48,528475
29,48,538813
30,48,549178
31,48,559437
32,48,569749
33,48,579993
34,48,590520
35,48,600783
36,48,611757
37,48,621808
38,48,632211
39,48,642534
40,48,653087
41,48,663470
42,48,673850
43,48,684410
44,48,694632
45,48,704849
46,48,715300
47,48,725722
48,48,736598
49,48,746666
50,48,757735
51,48,768407
52,48,778863
53,48,790061
54,48,801139
55,48,811381
56,48,821489
57,48,831908
58,48,843317
59,48,854459
60,48,864928
61,48,875361
62,48,885731
63,48,896244
64,48,906335
65,48,916989
66,48,927959
67,48,938179
68,48,948486
69,48,958834
70,48,969122
71,48,979408
72,48,989681
73,48,999918
74,49,10005
75,49,20557
76,49,31282
77,49,41540
78,49,52285
79,49,62892
80,49,73005
81,49,83788
82,49,94719
83,49,105366
84,49,116342
85,49,127383
86,49,137954
87,49,148038
88,49,158419
89,49,168722
90,49,178825
91,49,189079
92,49,199481
93,49,210382
94,49,220790
95,49,231131
96,49,241392
97,49,251707
98,49,262136
99,49,272530
100,49,283308
101,49,293705
102,49,303768
103,49,314357
104,49,324445
105,49,334988
106,49,345655
107,49,356127
108,49,367039
109,49,378157
110,49,388556
111,49,399694
112,49,410072
113,49,420339
114,49,430859
115,49,441635
116,49,451939
117,49,462276
118,49,472622
119,49,483117
120,49,493492
121,49,504551
122,49,515561
123,49,526401
124,49,536491
125,49,546639
126,49,556736
127,49,567317
128,49,577716
129,49,587888
130,49,598233
131,49,608548
132,49,618853
133,49,629052
134,49,639536
135,49,650288
136,49,660754
137,49,670847
138,49,681110
139,49,691270
140,49,701968
141,49,712245
142,49,722575
143,49,733496
144,49,743969
145,49,754216
146,49,764292
147,49,774639
148,49,784893
149,49,795962
150,49,806256
151,49,816438
152,49,826537
153,49,836631
154,49,847645
155,49,857940
156,49,869014
157,49,879396
158,49,889735
159,49,900392
160,49,910703
161,49,921400
162,49,932031
163,49,942397
164,49,953009
165,49,963318
166,49,973668
167,49,984194
168,49,994738
169,50,5342
170,50,15854
171,50,26410
172,50,36476
173,50,46796
174,50,57082
175,50,67881
176,50,78034
177,50,88411
178,50,99045
179,50,109292
180,50,119457
181,50,129665
182,50,140004
183,50,150149
184,50,160647
185,50,171499
186,50,182484
187,50,192831
188,50,203230
189,50,213523
190,50,223934
191,50,234251
192,50,244694
193,50,255055
194,50,265652
195,50,276288
196,50,286388
197,50,296469
198,50,306795
199,50,318077
200,50,328350
201,50,338726
202,50,349158
203,50,359517
204,50,370120
205,50,380306
206,50,390487
207,50,400793
208,50,411093
209,50,422398
210,50,432906
211,50,443255
212,50,454038
213,50,464752
214,50,475681
215,50,486131
216,50,497143
217,50,507644
218,50,517989
219,50,528094
220,50,538311
221,50,548534
222,50,558758
223,50,569120
224,50,579365
225,50,589643
226,50,600504
227,50,610644
228,50,620941
229,50,631990
230,50,642340
231,50,652842
232,50,663218
233,50,673525
234,50,683904
235,50,694279
236,50,704594
237,50,715383
238,50,726334
239,50,736479
240,50,746867
241,50,757155
242,50,768150
243,50,778493
244,50,788831
245,50,799117
246,50,809396
247,50,819794
248,50,830186
249,50,840489
250,50,850840
251,50,861744
252,50,873046
253,50,883188
254,50,893434
255,50,903691
256,50,914313
257,50,924427
258,50,935476
259,50,946054
260,50,956432
261,50,966526
262,50,977765
263,50,988058
264,50,998319
265,51,8562
266,51,19158
267,51,29885
268,51,40370
269,51,50715
270,51,60977
271,51,71279
272,51,81702
273,51,92064
274,51,102427
275,51,112809
276,51,123195
277,51,133305
278,51,143654
279,51,154239
280,51,165402
281,51,176045
282,51,186295
283,51,196784
284,51,207043
285,51,217677
286,51,228576
287,51,238973
288,51,249189
289,51,259518
290,51,269770
291,51,279916
292,51,290782
293,51,301058
294,51,311367
295,51,321658
296,51,331976
297,51,342238
298,51,352419
299,51,362539
300,51,373611
